,Country Name,RATE_PER_100000_N
0,Ireland,9.62
1,Greece,5.09
2,Slovenia,19.7829
3,France,13.7586
4,Lithuania,26.1436
5,Poland,11.3017
6,Luxembourg,11.2655
7,Hungary,16.6483
8,Belgium,18.2944
9,Croatia,16.3697
10,Portugal,11.46
11,Netherlands,11.8436
12,Austria,14.5966
13,Latvia,20.1248
14,Sweden,14.741
15,Estonia,14.8911
16,Bulgaria,9.73
17,Germany,12.3139
18,Spain,7.72
19,Denmark,10.6956
20,Romania,9.74
21,Slovakia,12.0899
22,Italy,6.68
23,Finland,15.2946
24,Cyprus,3.64
25,Malta,6.06
26,Czechia,12.1774
