,Country Name,2-letter Country Code,3-letter Country Code,3-digit Country Code
0,Austria,AT,AUT,40
1,Belgium,BE,BEL,56
2,Bulgaria,BG,BGR,100
3,Croatia,HR,HRV,191
4,Cyprus,CY,CYP,196
5,Czechia,CZ,CZE,203
6,Denmark,DK,DNK,208
7,Estonia,EE,EST,233
8,Finland,FI,FIN,246
9,France,FR,FRA,250
10,Germany,DE,DEU,276
11,Greece,GR,GRC,300
12,Hungary,HU,HUN,348
13,Ireland,IE,IRL,372
14,Italy,IT,ITA,380
15,Latvia,LV,LVA,428
16,Lithuania,LT,LTU,440
17,Luxembourg,LU,LUX,442
18,Malta,MT,MLT,470
19,Netherlands,NL,NLD,528
20,Poland,PL,POL,616
21,Portugal,PT,PRT,620
22,Romania,RO,ROU,642
23,Slovakia,SK,SVK,703
24,Slovenia,SI,SVN,705
25,Spain,ES,ESP,724
26,Sweden,SE,SWE,752
