DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,AT,2019,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,BE,2019,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,BG,2019,30.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,CY,2019,27.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,CZ,2019,25.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,DE,2019,23.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,DK,2019,21.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,EA20,2019,26.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,EE,2019,22.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,EL,2019,28.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,ES,2019,29.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,EU27_2020,2019,26.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,FI,2019,21.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,FR,2019,23.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,HR,2019,31.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,HU,2019,27.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,IE,2019,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,IT,2019,30.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,LT,2019,25.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,LU,2019,26.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,LV,2019,26.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,ME,2019,33.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,MK,2019,31.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,MT,2019,29.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,NL,2019,23.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,PL,2019,27.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,PT,2019,29.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,RO,2019,28.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,RS,2019,31.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,SE,2019,17.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,SI,2019,27.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,SK,2019,30.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,TR,2019,27.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,T,UK,2019,24.6,
